Date,Open,High,Low,Close
29.03.2016,8843.20,8906.50,8751.50,8808.30
24.03.2016,8862.50,8890.80,8781.70,8789.80
23.03.2016,9017.20,9046.00,8880.20,8927.10
22.03.2016,8969.30,8992.00,8840.40,8992.00
21.03.2016,9006.10,9138.90,8966.50,9021.00
18.03.2016,8995.30,9074.50,8904.70,9051.10
17.03.2016,9064.90,9071.20,8782.80,8978.80
16.03.2016,9018.40,9062.00,8898.60,8962.80
15.03.2016,9099.50,9122.20,8961.60,8988.30
14.03.2016,9156.10,9217.30,9120.10,9142.70
11.03.2016,8930.30,9101.30,8913.60,9090.60
10.03.2016,8782.00,9105.80,8730.60,8766.90
09.03.2016,8765.50,8889.60,8741.00,8761.10
08.03.2016,8736.30,8848.80,8663.20,8740.30
07.03.2016,8785.70,8834.70,8672.80,8786.80
04.03.2016,8812.60,8877.90,8734.60,8811.60
03.03.2016,8787.90,8812.00,8692.90,8767.00
02.03.2016,8662.30,8778.50,8641.20,8764.50
01.03.2016,8454.60,8611.60,8423.60,8611.00
29.02.2016,8291.90,8463.40,8222.60,8461.40
26.02.2016,8313.30,8397.80,8265.20,8349.20
25.02.2016,8128.10,8260.20,8103.50,8215.60
24.02.2016,8255.00,8269.10,7968.10,8013.70
23.02.2016,8345.40,8447.80,8259.00,8267.60
22.02.2016,8290.30,8399.30,8281.70,8387.00
19.02.2016,8284.90,8335.20,8105.00,8194.20
18.02.2016,8420.30,8479.60,8255.40,8295.40
17.02.2016,8166.20,8366.90,8140.90,8364.90
16.02.2016,8262.80,8262.80,8092.00,8137.60
15.02.2016,8133.00,8217.50,8081.40,8179.20
12.02.2016,7849.90,7920.80,7771.20,7920.80
11.02.2016,8047.30,8047.30,7746.30,7746.30
10.02.2016,8013.80,8249.80,7920.90,8143.70
09.02.2016,8129.00,8212.60,7862.00,7927.60
08.02.2016,8537.90,8540.90,8083.40,8122.10
05.02.2016,8477.10,8615.00,8411.30,8499.50
04.02.2016,8437.10,8521.70,8287.00,8468.10
03.02.2016,8510.30,8519.70,8180.40,8314.50
02.02.2016,8768.00,8772.50,8478.50,8528.70
01.02.2016,8849.30,8896.50,8718.40,8788.50
29.01.2016,8728.20,8815.80,8671.60,8815.80
28.01.2016,8697.80,8811.40,8516.80,8590.60
27.01.2016,8676.10,8741.00,8608.90,8741.00
26.01.2016,8426.10,8698.00,8402.30,8692.50
25.01.2016,8763.20,8763.20,8525.90,8567.70
22.01.2016,8638.00,8795.70,8565.70,8722.90
21.01.2016,8311.80,8502.50,8277.10,8444.20
20.01.2016,8390.20,8398.40,8206.00,8281.40
19.01.2016,8624.30,8656.90,8527.50,8554.90
18.01.2016,8525.50,8627.10,8427.30,8469.30
15.01.2016,8769.40,8796.40,8491.90,8543.60
14.01.2016,8852.50,8854.50,8662.20,8787.70
13.01.2016,8998.50,9074.00,8877.90,8934.50
12.01.2016,8867.90,9041.50,8818.90,8915.40
11.01.2016,8849.90,9022.00,8835.10,8886.10
08.01.2016,9093.30,9138.00,8909.20,8909.20
07.01.2016,8973.80,9103.00,8889.70,9059.30
06.01.2016,9330.30,9330.30,9122.60,9197.40
05.01.2016,9431.50,9446.20,9260.20,9335.20
04.01.2016,9429.80,9440.90,9263.70,9313.20
30.12.2015,9650.00,9696.40,9607.90,9641.90
29.12.2015,9611.70,9677.70,9606.40,9670.40
28.12.2015,9675.60,9724.90,9533.00,9552.50
24.12.2015,9663.00,9706.20,9653.10,9682.90
23.12.2015,9505.60,9661.90,9503.90,9641.00
22.12.2015,9451.80,9456.30,9351.80,9415.60
21.12.2015,9520.50,9558.20,9365.80,9365.80
18.12.2015,9794.10,9874.20,9644.90,9717.10
17.12.2015,9909.10,10000.40,9850.90,9878.50
16.12.2015,9762.50,9817.40,9635.70,9711.00
15.12.2015,9496.30,9747.50,9492.50,9711.60
14.12.2015,9658.00,9732.10,9428.50,9428.50
11.12.2015,9772.90,9791.60,9606.80,9630.70
10.12.2015,9779.40,9872.50,9719.40,9778.70
09.12.2015,9865.30,9932.10,9713.20,9835.50
08.12.2015,10029.00,10031.20,9790.40,9837.10
07.12.2015,10139.00,10158.20,10021.90,10042.40
04.12.2015,10046.10,10131.50,9931.10,10078.70
03.12.2015,10353.40,10476.60,10083.30,10092.90
02.12.2015,10411.90,10447.00,10323.50,10342.00
01.12.2015,10409.90,10469.20,10344.90,10379.20
30.11.2015,10299.00,10430.30,10275.90,10386.90
27.11.2015,10285.80,10390.70,10264.50,10310.70
27.11.2015,10285.80,10390.70,10264.50,10310.70
26.11.2015,10217.30,10352.90,10174.80,10332.30
25.11.2015,10184.20,10247.10,10083.10,10227.30
24.11.2015,10231.30,10231.30,10045.60,10207.20
23.11.2015,10262.30,10307.70,10206.80,10277.40
20.11.2015,10373.20,10385.00,10247.60,10290.30
19.11.2015,10340.50,10408.40,10325.70,10354.70
18.11.2015,10284.00,10307.40,10226.50,10261.10
17.11.2015,10214.60,10376.00,10199.60,10363.80
16.11.2015,10012.40,10158.10,10005.20,10124.50
13.11.2015,10118.30,10201.20,10012.30,10111.40
12.11.2015,10350.60,10369.00,10113.40,10144.00
11.11.2015,10345.10,10463.10,10344.20,10377.20
10.11.2015,10364.00,10376.30,10244.30,10336.80
09.11.2015,10451.60,10476.90,10322.90,10325.20
06.11.2015,10425.80,10500.30,10318.50,10453.20
05.11.2015,10483.90,10552.70,10385.00,10431.20
04.11.2015,10524.80,10631.60,10454.00,10473.50
03.11.2015,10398.60,10465.20,10375.40,10465.20
02.11.2015,10279.30,10463.50,10259.10,10418.20
30.10.2015,10394.20,10405.70,10258.70,10360.70
29.10.2015,10451.80,10455.20,10298.10,10397.20
28.10.2015,10321.00,10440.10,10296.80,10421.90
27.10.2015,10458.20,10458.20,10300.70,10322.40
26.10.2015,10473.90,10517.60,10408.60,10478.30
23.10.2015,10449.70,10591.90,10418.20,10476.30
22.10.2015,10130.10,10402.50,10109.50,10365.40
21.10.2015,10126.10,10188.30,10004.00,10157.50
20.10.2015,10196.80,10217.00,10055.10,10100.60
19.10.2015,10221.50,10310.40,10164.70,10207.30
16.10.2015,10174.90,10244.00,10153.10,10231.50
15.10.2015,10132.10,10132.70,10055.10,10101.70
14.10.2015,10065.40,10129.00,9992.40,10037.60
13.10.2015,10227.40,10229.30,10049.80,10115.30
12.10.2015,10318.80,10379.00,10208.50,10246.40
09.10.2015,10279.10,10354.10,10224.90,10309.60
08.10.2015,10137.80,10190.30,10063.20,10181.20
07.10.2015,10176.10,10289.80,10119.90,10170.00
06.10.2015,9996.50,10138.20,9909.50,10103.30
05.10.2015,9777.30,9980.90,9731.50,9971.30
02.10.2015,9650.40,9688.10,9428.80,9603.60
01.10.2015,9668.90,9718.00,9543.80,9567.30
30.09.2015,9580.60,9606.30,9491.10,9559.90
29.09.2015,9280.40,9514.40,9264.40,9393.90
28.09.2015,9500.90,9598.60,9357.40,9394.20
25.09.2015,9444.20,9575.30,9430.20,9519.50
24.09.2015,9492.10,9540.20,9231.30,9291.40
23.09.2015,9529.00,9659.10,9463.90,9474.60
22.09.2015,9856.10,9857.80,9528.20,9550.20
