Date,Open,High,Low,Close
30.03.2016,4494.70,4518.18,4481.84,4490.88
29.03.2016,4391.19,4471.77,4384.27,4467.72
28.03.2016,4415.04,4417.57,4393.08,4398.06
24.03.2016,4380.23,4405.99,4374.71,4405.53
23.03.2016,4431.82,4434.76,4394.96,4402.56
22.03.2016,4403.46,4450.76,4401.26,4437.62
21.03.2016,4403.09,4430.44,4400.35,4426.98
18.03.2016,4408.82,4420.88,4387.80,4410.83
17.03.2016,4390.06,4413.08,4376.87,4400.26
16.03.2016,4359.67,4416.11,4357.74,4404.20
15.03.2016,4354.38,4371.29,4339.86,4367.08
14.03.2016,4347.94,4378.35,4347.55,4367.33
11.03.2016,4337.12,4361.83,4320.55,4361.83
10.03.2016,4307.87,4335.33,4232.08,4286.97
09.03.2016,4281.10,4293.23,4258.08,4293.23
08.03.2016,4272.72,4308.84,4258.83,4265.51
07.03.2016,4303.81,4330.28,4271.57,4303.33
04.03.2016,4334.03,4356.34,4301.35,4329.00
03.03.2016,4330.40,4331.49,4296.32,4325.86
02.03.2016,4328.72,4335.43,4301.09,4334.39
01.03.2016,4238.08,4333.61,4225.93,4333.61
29.02.2016,4228.57,4263.31,4200.15,4201.12
26.02.2016,4273.59,4275.83,4227.29,4235.62
25.02.2016,4212.48,4241.25,4173.25,4241.06
24.02.2016,4116.02,4205.98,4088.12,4200.66
23.02.2016,4209.32,4217.99,4158.56,4162.54
22.02.2016,4203.60,4235.12,4199.93,4231.27
19.02.2016,4129.75,4175.08,4121.59,4164.09
18.02.2016,4212.22,4212.58,4146.10,4151.49
17.02.2016,4138.43,4204.62,4125.83,4199.10
16.02.2016,4077.33,4104.33,4049.88,4104.33
12.02.2016,3996.64,4022.12,3965.74,4019.19
11.02.2016,3910.57,3988.71,3902.86,3962.22
10.02.2016,3996.77,4045.48,3962.70,3966.28
09.02.2016,3903.93,4008.06,3902.74,3947.80
08.02.2016,3947.99,3979.09,3888.78,3960.67
05.02.2016,4150.35,4152.73,4008.45,4024.47
04.02.2016,4158.05,4200.99,4120.58,4167.77
03.02.2016,4213.67,4218.16,4099.24,4171.97
02.02.2016,4262.45,4265.04,4180.57,4193.10
01.02.2016,4254.41,4301.63,4238.20,4286.56
29.01.2016,4186.35,4279.17,4184.31,4279.17
28.01.2016,4197.20,4197.48,4116.50,4186.06
27.01.2016,4214.94,4226.09,4111.93,4128.86
26.01.2016,4211.92,4250.97,4177.85,4233.85
25.01.2016,4245.47,4268.11,4193.32,4196.53
22.01.2016,4226.44,4260.55,4209.24,4259.77
21.01.2016,4146.45,4200.36,4099.30,4142.60
20.01.2016,4078.23,4178.64,3992.91,4136.28
19.01.2016,4199.56,4202.04,4101.05,4147.08
15.01.2016,4123.87,4184.69,4085.79,4141.08
14.01.2016,4201.23,4308.25,4133.32,4272.97
13.01.2016,4352.64,4359.50,4177.30,4183.12
12.01.2016,4322.77,4353.19,4273.03,4333.72
11.01.2016,4300.97,4311.14,4217.63,4283.55
08.01.2016,4336.12,4362.46,4264.81,4270.78
07.01.2016,4349.14,4403.61,4303.66,4305.72
06.01.2016,4409.78,4467.55,4409.49,4443.99
05.01.2016,4512.04,4522.12,4466.05,4484.18
04.01.2016,4485.06,4497.86,4439.13,4497.86
31.12.2015,4634.16,4642.55,4592.88,4593.27
30.12.2015,4687.16,4688.66,4651.73,4652.01
29.12.2015,4645.08,4702.74,4644.32,4691.08
28.12.2015,4610.41,4621.68,4580.13,4621.35
24.12.2015,4626.32,4635.59,4620.80,4622.77
23.12.2015,4612.16,4626.17,4605.36,4624.59
22.12.2015,4580.61,4596.08,4560.54,4589.26
21.12.2015,4547.92,4560.71,4519.82,4560.55
18.12.2015,4578.69,4593.40,4513.23,4514.83
17.12.2015,4680.63,4681.13,4597.65,4598.14
